,,% Trade,% of ETF,CUSIP,Date,Direction,FUND,Name,Shares,Ticker
211,,,0.0073,65481N100,2021-06-01,Buy,ARKQ,NIU TECHNOLOGIES,6361,NIU
212,,,0.504,N6596X109,2021-06-01,Sell,ARKQ,NXP SEMICONDUCTORS NV,71584,NXPI
213,,,0.0029,G3770A102,2021-06-01,Sell,ARKQ,GALILEO ACQUISITION CORP,8350,GLEO
214,,,0.0626,008073108,2021-06-01,Sell,ARKQ,AEROVIRONMENT INC,16756,AVAV
215,,,0.0886,92921W300,2021-06-01,Buy,ARKW,VUZIX CORP,271517,VUZI
216,,,0.0761,722304102,2021-06-01,Sell,ARKW,PINDUODUO INC,31745,PDD
217,,,0.2518,64110L106,2021-06-01,Buy,ARKX,NETFLIX INC,3182,NFLX
218,,,0.0038,G7483N129,2021-06-01,Buy,ARKX,REINVENT TECHNOLOGY PARTNERS,2400,RTP
219,,,0.0871,754212108,2021-06-01,Sell,ARKX,RAVEN INDUSTRIES INC,12285,RAVN
220,,,0.2539,880770102,2021-06-01,Sell,ARKX,TERADYNE INC,12255,TER
221,,,0.3384,J9894K105,2021-05-28,Buy,ARKF,Z HOLDINGS CORP,2581896,4689JP
222,,,0.0105,48581R205,2021-05-28,Buy,ARKF,KASPI.KZ JSC,4231,KSPILI
223,,,0.1202,Y989DF109,2021-05-28,Sell,ARKF,ZHONGAN ONLINE P&C INSURANCE CO LTD,847475,6060HK
224,,,0.0056,192005106,2021-05-28,Buy,ARKG,CODEXIS INC,22500,CDXS
225,,,0.0003,125842203,2021-05-28,Buy,ARKG,CM LIFE SCIENCES II INC,1628,CMIIU
226,,,0.0042,760273102,2021-05-28,Buy,ARKG,REPARE THERAPEUTICS INC,10704,RPTX
227,,,0.0032,86877M209,2021-05-28,Buy,ARKG,SURFACE ONCOLOGY INC,30000,SURF
228,,,0.0125,98980L101,2021-05-28,Buy,ARKK,ZOOM VIDEO COMMUNICATIONS INC,7964,ZM
229,,,0.0178,82509L107,2021-05-28,Buy,ARKK,SHOPIFY INC,3019,SHOP
230,,,0.0544,30063P105,2021-05-28,Buy,ARKK,EXACT SCIENCES CORP,103200,EXAS
231,,,0.0505,44852D108,2021-05-28,Sell,ARKK,HUYA INC,700000,HUYA
232,,,0.0091,G50740102,2021-05-28,Buy,ARKQ,JAWS SPITFIRE ACQUISITION CORP,26523,SPFR
233,,,0.2531,92921W300,2021-05-28,Buy,ARKW,VUZIX CORP,773400,VUZI
234,,,0.0338,722304102,2021-05-28,Sell,ARKW,PINDUODUO INC,15000,PDD
235,,,0.0952,J9894K105,2021-05-27,Buy,ARKF,Z HOLDINGS CORP,733800,4689JP
236,,,0.037,48581R205,2021-05-27,Buy,ARKF,KASPI.KZ JSC,15092,KSPILI
237,,,0.2361,Y989DF109,2021-05-27,Sell,ARKF,ZHONGAN ONLINE P&C INSURANCE CO LTD,1583300,6060HK
238,,,0.0019,760273102,2021-05-27,Buy,ARKG,REPARE THERAPEUTICS INC,4658,RPTX
239,,,0.0327,65443P102,2021-05-27,Buy,ARKG,908 DEVICES INC,68601,MASS
240,,,0.0031,18978W109,2021-05-27,Buy,ARKG,CM LIFE SCIENCES INC,19400,CMLF
241,,,0.0026,125842203,2021-05-27,Buy,ARKG,CM LIFE SCIENCES II INC,15840,CMIIU
242,,,0.002,192005106,2021-05-27,Buy,ARKG,CODEXIS INC,8252,CDXS
243,,,0.0006,72940R300,2021-05-27,Sell,ARKG,PLURISTEM THERAPEUTICS INC,13623,PSTI
244,,,0.0021,874060205,2021-05-27,Sell,ARKG,TAKEDA PHARMACEUTICAL CO LTD,10100,TAK
245,,,0.0899,98980L101,2021-05-27,Buy,ARKK,ZOOM VIDEO COMMUNICATIONS INC,58345,ZM
246,,,0.0751,82509L107,2021-05-27,Buy,ARKK,SHOPIFY INC,12841,SHOP
247,,,0.0079,30063P105,2021-05-27,Buy,ARKK,EXACT SCIENCES CORP,15315,EXAS
248,,,0.0006,68620A203,2021-05-27,Sell,ARKK,ORGANOVO HOLDINGS INC,16866,ONVO
249,,,0.0189,44852D108,2021-05-27,Sell,ARKK,HUYA INC,268800,HUYA
250,,,0.0022,87184Q107,2021-05-27,Sell,ARKK,SYROS PHARMACEUTICALS INC,80000,SYRS
251,,,0.0144,049284102,2021-05-27,Buy,ARKQ,ATLAS CREST INVESTMENT CORP,42298,ACIC
252,,,0.0051,G7000X105,2021-05-27,Buy,ARKQ,ONE,15000,AONE
253,,,0.0073,G50740102,2021-05-27,Buy,ARKQ,JAWS SPITFIRE ACQUISITION CORP,21518,SPFR
254,,,0.0191,46269C102,2021-05-27,Buy,ARKQ,IRIDIUM COMMUNICATIONS INC,14743,IRDM
255,,,0.0041,G3770A102,2021-05-27,Sell,ARKQ,GALILEO ACQUISITION CORP,11957,GLEO
256,,,0.022,008073108,2021-05-27,Sell,ARKQ,AEROVIRONMENT INC,5900,AVAV
257,,,0.4864,679295105,2021-05-27,Buy,ARKW,OKTA INC,123385,OKTA
258,,,0.0637,92921W300,2021-05-27,Buy,ARKW,VUZIX CORP,194264,VUZI
259,,,0.4915,45866F104,2021-05-27,Sell,ARKW,INTERCONTINENTAL EXCHANGE INC,244254,ICE
260,,,0.097,754212108,2021-05-27,Sell,ARKX,RAVEN INDUSTRIES INC,13600,RAVN
261,,,0.0731,J9894K105,2021-05-26,Buy,ARKF,Z HOLDINGS CORP,566500,4689JP
262,,,0.0084,48581R205,2021-05-26,Buy,ARKF,KASPI.KZ JSC,3588,KSPILI
